"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
",CHANGE,"CHANGE %
",VOLUME (Shares),VALUE (in Crores),"52W H 
","52W L 
","30 D CHANGE % 
"
LT,"3,535.05","3,634.00","3,535.05","3,526.55","3,623.00",96.45,2.73,"50,87,748","1,829.30","3,919.90","2,420.00",-3.89
WIPRO,529.3,545,528.3,527.35,538.35,11,2.09,"1,81,38,484",976.43,545.9,375.05,20.34
INFY,"1,596.20","1,633.80","1,586.50","1,590.80","1,620.00",29.2,1.84,"1,04,93,173","1,698.63","1,733.00","1,305.00",13.07
TATACONSUM,"1,096.00","1,110.00","1,080.00","1,094.55","1,110.00",15.45,1.41,"20,26,189",222.21,"1,269.00",822,3.24
HDFCBANK,"1,715.00","1,734.90","1,702.75","1,705.20","1,728.00",22.8,1.34,"2,29,60,845","3,954.89","1,757.50","1,363.55",11.34
ONGC,273.2,279.8,271.5,272.95,275.7,2.75,1.01,"2,44,70,518",675.58,292.95,160,3.25
COALINDIA,478,485,473.35,474.8,479.4,4.6,0.97,"1,46,29,287",702.38,527.4,226.85,-3.34
HINDALCO,689.9,703.3,688.4,689.85,696,6.15,0.89,"54,82,768",381.98,715.25,417.15,0.07
GRASIM,"2,717.00","2,762.70","2,717.00","2,726.40","2,750.70",24.3,0.89,"9,42,834",259.06,"2,762.70","1,733.25",17.71
TCS,"3,993.60","4,023.40","3,982.55","3,978.20","4,009.80",31.6,0.79,"23,07,449",924.19,"4,254.75","3,250.10",8.37
CIPLA,"1,480.00","1,492.75","1,479.25","1,479.10","1,490.00",10.9,0.74,"11,91,962",177.33,"1,582.00",996.5,2.2
HCLTECH,"1,475.00","1,492.45","1,473.00","1,468.85","1,479.00",10.15,0.69,"38,11,366",565.25,"1,697.35","1,087.05",10.93
LTIM,"5,450.05","5,543.00","5,405.00","5,447.50","5,480.00",32.5,0.6,"5,02,427",276.1,"6,442.00","4,513.55",15.86
POWERGRID,330.05,334.4,328.05,329.6,331.2,1.6,0.49,"1,26,84,459",420.74,348.7,177.53,6.32
TATASTEEL,174.47,175.75,173.6,174.07,174.61,0.54,0.31,"3,33,59,495",582.26,184.6,111.25,4.11
NTPC,372.6,372.6,365.15,369.75,370.55,0.8,0.22,"1,37,02,830",505.18,393.2,184.75,2.99
RELIANCE,"3,139.00","3,147.00","3,114.00","3,120.30","3,126.20",5.9,0.19,"38,74,623","1,212.64","3,162.00","2,220.30",9.07
DRREDDY,"6,345.00","6,380.95","6,284.25","6,353.70","6,364.85",11.15,0.18,"3,63,815",230.68,"6,505.90","5,076.25",9.7
SUNPHARMA,"1,514.00","1,534.90","1,508.25","1,520.10","1,522.00",1.9,0.12,"13,36,816",203.64,"1,638.85","1,028.75",4.13
BAJAJFINSV,"1,580.20","1,585.00","1,561.10","1,580.20","1,582.00",1.8,0.11,"25,72,175",404.57,"1,741.00","1,419.05",3.38
ASIANPAINT,"2,927.80","2,936.00","2,912.00","2,927.80","2,928.00",0.2,0.01,"10,64,295",311.18,"3,568.00","2,670.10",1.62
ADANIPORTS,"1,479.50","1,489.60","1,455.05","1,474.50","1,474.50",-,-,"53,68,562",788.44,"1,621.40",708,2.58
EICHERMOT,"4,635.90","4,699.10","4,592.90","4,635.55","4,634.85",-0.7,-0.02,"8,65,321",400.37,"4,976.00","3,160.00",-2.07
TECHM,"1,480.00","1,498.00","1,470.00","1,472.10","1,471.80",-0.3,-0.02,"20,92,643",310.24,"1,498.00","1,082.30",19.83
BPCL,304,308.25,302.2,304.55,304.4,-0.15,-0.05,"55,53,786",169.53,343.98,165.73,-51.49
ULTRACEMCO,"11,944.00","12,078.00","11,800.00","11,904.65","11,855.00",-49.65,-0.42,"4,22,173",503.41,"12,078.00","7,987.65",20.06
JSWSTEEL,945,953.7,936.5,943.9,939.95,-3.95,-0.42,"19,36,180",182.54,953.7,723,7.19
M&M,"2,890.20","2,891.00","2,850.00","2,875.85","2,862.95",-12.9,-0.45,"15,07,890",432.78,"3,013.50","1,415.75",14.75
APOLLOHOSP,"6,134.75","6,163.75","6,077.00","6,140.50","6,104.85",-35.65,-0.58,"4,36,037",265.95,"6,874.45","4,726.00",5.16
DIVISLAB,"4,607.70","4,620.85","4,565.25","4,602.10","4,575.30",-26.8,-0.58,"2,58,530",118.61,"4,648.45","3,295.30",6.85
MARUTI,"12,149.95","12,149.95","11,995.00","12,108.65","12,029.90",-78.75,-0.65,"6,87,181",828.13,"13,073.95","9,254.15",-2.34
SBILIFE,"1,507.00","1,510.35","1,468.10","1,501.85","1,492.00",-9.85,-0.66,"14,62,260",217.65,"1,569.40","1,251.65",8.33
HINDUNILVR,"2,515.00","2,515.00","2,479.35","2,505.10","2,486.65",-18.45,-0.74,"13,05,210",324.91,"2,769.65","2,172.05",7.56
ITC,430,430.65,422.55,429.05,425.75,-3.3,-0.77,"1,07,63,335",459.43,499.7,399.35,0.61
